"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","SNF2","YOR290C","Sucrose NonFermenting","Panther"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","SNF2","YOR290C","Sucrose NonFermenting","TreeFam"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","STH1","YIL126W","SNF Two Homolog","Ensembl"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","STH1","YIL126W","SNF Two Homolog","HomoloGene"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","STH1","YIL126W","SNF Two Homolog","Panther"
"NICOLAIDES-BARAITSER SYNDROME; NCBRS ","601358","SMARCA2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2","6595","600014","STH1","YIL126W","SNF Two Homolog","TreeFam"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","Ensembl"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","HomoloGene"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","Panther"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","TreeFam"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","Ensembl"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","Panther"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 16; MRD16 ","614609","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","TreeFam"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","Ensembl"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","HomoloGene"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","Panther"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","SNF2","YOR290C","Sucrose NonFermenting","TreeFam"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","Ensembl"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","Panther"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 ","613325","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597","603254","STH1","YIL126W","SNF Two Homolog","TreeFam"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 15; MRD15 ","614608","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SFH1","YLR321C","Snf Five Homolog","Ensembl"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 15; MRD15 ","614608","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SFH1","YLR321C","Snf Five Homolog","Panther"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 15; MRD15 ","614608","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SNF5","YBR289W","Sucrose NonFermenting","Panther"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 15; MRD15 ","614608","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SNF5","YBR289W","Sucrose NonFermenting","TreeFam"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 1; RTPS1 ","609322","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SFH1","YLR321C","Snf Five Homolog","Ensembl"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 1; RTPS1 ","609322","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SFH1","YLR321C","Snf Five Homolog","Panther"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 1; RTPS1 ","609322","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SNF5","YBR289W","Sucrose NonFermenting","Panther"
"RHABDOID TUMOR PREDISPOSITION SYNDROME 1; RTPS1 ","609322","SMARCB1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","6598","601607","SNF5","YBR289W","Sucrose NonFermenting","TreeFam"
"NIEMANN-PICK DISEASE, TYPE A ","257200","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal","6609","607608","PPN1","YDR452W","","Ensembl"
"NIEMANN-PICK DISEASE, TYPE A ","257200","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal","6609","607608","PPN1","YDR452W","","TreeFam"
"NIEMANN-PICK DISEASE, TYPE B NIEMANN-PICK DISEASE, TYPE E, INCLUDED","607616","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal","6609","607608","PPN1","YDR452W","","Ensembl"
"NIEMANN-PICK DISEASE, TYPE B NIEMANN-PICK DISEASE, TYPE E, INCLUDED","607616","SMPD1","sphingomyelin phosphodiesterase 1, acid lysosomal","6609","607608","PPN1","YDR452W","","TreeFam"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR ","309583","SMS","spermine synthase","6611","300105","SPE3","YPR069C","SPErmidine auxotroph","Panther"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR ","309583","SMS","spermine synthase","6611","300105","SPE4","YLR146C","SPErmidine auxotroph","Ensembl"
"MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR ","309583","SMS","spermine synthase","6611","300105","SPE4","YLR146C","SPErmidine auxotroph","Panther"
"HYPOTRICHOSIS 11; HYPT11 ","615059","SNRPE","small nuclear ribonucleoprotein polypeptide E","6635","128260","SME1","YOR159C","","HomoloGene"
"HYPOTRICHOSIS 11; HYPT11 ","615059","SNRPE","small nuclear ribonucleoprotein polypeptide E","6635","128260","SME1","YOR159C","","TreeFam"
"PRADER-WILLI SYNDROME; PWS ","176270","SNRPN","small nuclear ribonucleoprotein polypeptide N","6638","182279","SMB1","YER029C","SM complex B protein","Ensembl"
"PRADER-WILLI SYNDROME; PWS ","176270","SNRPN","small nuclear ribonucleoprotein polypeptide N","6638","182279","SMB1","YER029C","SM complex B protein","Panther"
"AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1 ","105400","SOD1","superoxide dismutase 1, soluble","6647","147450","SOD1","YJR104C","SuperOxide Dismutase","Ensembl"
"AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1 ","105400","SOD1","superoxide dismutase 1, soluble","6647","147450","SOD1","YJR104C","SuperOxide Dismutase","HomoloGene"
"AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1 ","105400","SOD1","superoxide dismutase 1, soluble","6647","147450","SOD1","YJR104C","SuperOxide Dismutase","TreeFam"
"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 6; MVCD6 ","612634","SOD2","superoxide dismutase 2, mitochondrial","6648","147460","SOD2","YHR008C","SuperOxide Dismutase","HomoloGene"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","PEP1","YBL017C","carboxyPEPtidase Y-deficient","Panther"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","PEP1","YBL017C","carboxyPEPtidase Y-deficient","TreeFam"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","VTH1","YIL173W","","Panther"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","VTH1","YIL173W","","TreeFam"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","VTH2","YJL222W","","Panther"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","VTH2","YJL222W","","TreeFam"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","","YCR099C","","Panther"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","","YNR065C","","Panther"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","","YNR065C","","TreeFam"
"ALZHEIMER DISEASE; AD ","104300","SORL1","sortilin-related receptor, L(DLR class) A repeats containing","6653","602005","","YNR066C","","Panther"
"FIBROMATOSIS, GINGIVAL, 1; GINGF1 ","135300","SOS1","son of sevenless homolog 1 (Drosophila)","6654","182530","CDC25","YLR310C","Cell Division Cycle","Ensembl"
"FIBROMATOSIS, GINGIVAL, 1; GINGF1 ","135300","SOS1","son of sevenless homolog 1 (Drosophila)","6654","182530","CDC25","YLR310C","Cell Division Cycle","TreeFam"
"NOONAN SYNDROME 4; NS4 ","610733","SOS1","son of sevenless homolog 1 (Drosophila)","6654","182530","CDC25","YLR310C","Cell Division Cycle","Ensembl"
"NOONAN SYNDROME 4; NS4 ","610733","SOS1","son of sevenless homolog 1 (Drosophila)","6654","182530","CDC25","YLR310C","Cell Division Cycle","TreeFam"
"MICROPHTHALMIA, SYNDROMIC 3; MCOPS3 ","206900","SOX2","SRY (sex determining region Y)-box 2","6657","184429","ROX1","YPR065W","Regulation by OXygen","Panther"
"MICROPHTHALMIA, SYNDROMIC 3; MCOPS3 ","206900","SOX2","SRY (sex determining region Y)-box 2","6657","184429","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"MENTAL RETARDATION, X-LINKED, WITH PANHYPOPITUITARISM MENTAL RETARDATION, X-LINKED, WITH ISOLATED GROWTH HORMONE DEFICIENCY, INCLUDED; MRGH, INCLUDED ","300123","SOX3","SRY (sex determining region Y)-box 3","6658","313430","ROX1","YPR065W","Regulation by OXygen","Panther"
"MENTAL RETARDATION, X-LINKED, WITH PANHYPOPITUITARISM MENTAL RETARDATION, X-LINKED, WITH ISOLATED GROWTH HORMONE DEFICIENCY, INCLUDED; MRGH, INCLUDED ","300123","SOX3","SRY (sex determining region Y)-box 3","6658","313430","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"PANHYPOPITUITARISM, X-LINKED; PHPX ","312000","SOX3","SRY (sex determining region Y)-box 3","6658","313430","ROX1","YPR065W","Regulation by OXygen","Panther"
"PANHYPOPITUITARISM, X-LINKED; PHPX ","312000","SOX3","SRY (sex determining region Y)-box 3","6658","313430","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"CAMPOMELIC DYSPLASIA ","114290","SOX9","SRY (sex determining region Y)-box 9","6662","608160","ROX1","YPR065W","Regulation by OXygen","Panther"
"CAMPOMELIC DYSPLASIA ","114290","SOX9","SRY (sex determining region Y)-box 9","6662","608160","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATION, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE; PCWH ","609136","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","Panther"
"PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATION, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE; PCWH ","609136","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"WAARDENBURG SYNDROME, TYPE 2E; WS2E ","611584","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","Panther"
"WAARDENBURG SYNDROME, TYPE 2E; WS2E ","611584","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"WAARDENBURG SYNDROME, TYPE 4C; WS4C ","613266","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","Panther"
"WAARDENBURG SYNDROME, TYPE 4C; WS4C ","613266","SOX10","SRY (sex determining region Y)-box 10","6663","602229","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"CILIARY DYSKINESIA, PRIMARY, 28; CILD28 ","615505","SPAG1","sperm associated antigen 1","6674","603395","STI1","YOR027W","STress Inducible","Ensembl"
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES BPES, TYPE I, INCLUDED","110100","FOXL2","forkhead box L2","668","605597","FHL1","YPR104C","Fork Head-Like","Panther"
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES BPES, TYPE I, INCLUDED","110100","FOXL2","forkhead box L2","668","605597","HCM1","YCR065W","High-Copy suppressor of Calmodulin","Panther"
"PREMATURE OVARIAN FAILURE 3; POF3 ","608996","FOXL2","forkhead box L2","668","605597","FHL1","YPR104C","Fork Head-Like","Panther"
"PREMATURE OVARIAN FAILURE 3; POF3 ","608996","FOXL2","forkhead box L2","668","605597","HCM1","YCR065W","High-Copy suppressor of Calmodulin","Panther"
"SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4 ","182601","SPAST","spastin","6683","604277","SAP1","YER047C","Sin1 Associated Protein ","Ensembl"
"SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4 ","182601","SPAST","spastin","6683","604277","SAP1","YER047C","Sin1 Associated Protein ","Panther"
"SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4 ","182601","SPAST","spastin","6683","604277","YTA6","YPL074W","Yeast Tat-binding Analog","Ensembl"
"SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4 ","182601","SPAST","spastin","6683","604277","YTA6","YPL074W","Yeast Tat-binding Analog","Panther"
"SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE; SPG7 ","607259","SPG7","spastic paraplegia 7 (pure and complicated autosomal recessive)","6687","602783","AFG3","YER017C","ATPase Family Gene","Ensembl"
"SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE; SPG7 ","607259","SPG7","spastic paraplegia 7 (pure and complicated autosomal recessive)","6687","602783","YTA12","YMR089C","Yeast Tat-binding Analog","Ensembl"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM1","YKL152C","Glycerate PhosphoMutase","Ensembl"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM1","YKL152C","Glycerate PhosphoMutase","Panther"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM1","YKL152C","Glycerate PhosphoMutase","TreeFam"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM2","YDL021W","Glycerate PhosphoMutase","Panther"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM2","YDL021W","Glycerate PhosphoMutase","TreeFam"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM3","YOL056W","Glycerate PhosphoMutase","Panther"
"BISPHOSPHOGLYCERATE MUTASE DEFICIENCY ","222800","BPGM","2,3-bisphosphoglycerate mutase","669","613896","GPM3","YOL056W","Glycerate PhosphoMutase","TreeFam"
"DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY ","612716","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","6697","182125","IRC24","YIR036C","Increased Recombination Centers","Ensembl"
"DYSTONIA, DOPA-RESPONSIVE, DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY ","612716","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","6697","182125","","YIR035C","putative Novel REductase","Ensembl"
"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2; CBAS2 ","235555","AKR1D1","aldo-keto reductase family 1, member D1","6718","604741","GRE3","YHR104W","Genes de Respuesta a Estres (stress responsive genes)","Ensembl"
"46,XX SEX REVERSAL 1; SRXX1 ","400045","SRY","sex determining region Y","6736","480000","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"46,XY SEX REVERSAL 1; SRXY1 ","400044","SRY","sex determining region Y","6736","480000","ROX1","YPR065W","Regulation by OXygen","TreeFam"
"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS; TIIAC ","614868","STK4","serine/threonine kinase 4","6789","604965","KIC1","YHR102W","Kinase that Interacts with Cdc31p","Ensembl"
"COLORECTAL CANCER; CRC ","114500","AURKA","aurora kinase A","6790","603072","IPL1","YPL209C","Increase in PLoidy","Ensembl"
"COLORECTAL CANCER; CRC ","114500","AURKA","aurora kinase A","6790","603072","IPL1","YPL209C","Increase in PLoidy","HomoloGene"
"COLORECTAL CANCER; CRC ","114500","AURKA","aurora kinase A","6790","603072","IPL1","YPL209C","Increase in PLoidy","Panther"
"COLORECTAL CANCER; CRC ","114500","AURKA","aurora kinase A","6790","603072","IPL1","YPL209C","Increase in PLoidy","TreeFam"
"ANGELMAN SYNDROME; AS ","105830","CDKL5","cyclin-dependent kinase-like 5","6792","300203","IME2","YJL106W","Inducer of MEiosis","Ensembl"
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 2; EIEE2 ","300672","CDKL5","cyclin-dependent kinase-like 5","6792","300203","IME2","YJL106W","Inducer of MEiosis","Ensembl"
"PANCREATIC CANCER ","260350","STK11","serine/threonine kinase 11","6794","602216","SNF1","YDR477W","Sucrose NonFermenting","Ensembl"
"PEUTZ-JEGHERS SYNDROME; PJS ","175200","STK11","serine/threonine kinase 11","6794","602216","SNF1","YDR477W","Sucrose NonFermenting","Ensembl"
"TESTICULAR GERM CELL TUMOR; TGCT ","273300","STK11","serine/threonine kinase 11","6794","602216","SNF1","YDR477W","Sucrose NonFermenting","Ensembl"
"SPERMATOGENIC FAILURE 5; SPGF5 ","243060","AURKC","aurora kinase C","6795","603495","IPL1","YPL209C","Increase in PLoidy","Ensembl"
"SPERMATOGENIC FAILURE 5; SPGF5 ","243060","AURKC","aurora kinase C","6795","603495","IPL1","YPL209C","Increase in PLoidy","Panther"
"SPERMATOGENIC FAILURE 5; SPGF5 ","243060","AURKC","aurora kinase C","6795","603495","IPL1","YPL209C","Increase in PLoidy","TreeFam"
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4; EIEE4 ","612164","STXBP1","syntaxin binding protein 1","6812","602926","SEC1","YDR164C","SECretory","Ensembl"
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4; EIEE4 ","612164","STXBP1","syntaxin binding protein 1","6812","602926","SEC1","YDR164C","SECretory","Panther"
"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 4; EIEE4 ","612164","STXBP1","syntaxin binding protein 1","6812","602926","SEC1","YDR164C","SECretory","TreeFam"
"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 5; FHL5 ","613101","STXBP2","syntaxin binding protein 2","6813","601717","SEC1","YDR164C","SECretory","Ensembl"
"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 5; FHL5 ","613101","STXBP2","syntaxin binding protein 2","6813","601717","SEC1","YDR164C","SECretory","HomoloGene"
"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 5; FHL5 ","613101","STXBP2","syntaxin binding protein 2","6813","601717","SEC1","YDR164C","SECretory","Panther"
"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 5; FHL5 ","613101","STXBP2","syntaxin binding protein 2","6813","601717","SEC1","YDR164C","SECretory","TreeFam"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","STE6","YKL209C","STErile","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","","YKR104W","","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","STE6","YKL209C","STErile","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YOR1","YGR281W","Yeast Oligomycin Resistance","Panther"
"DIABETES MELLITUS, PERMANENT NEONATAL; PNDM ","606176","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","","YKR104W","","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","STE6","YKL209C","STErile","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 ","610374","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","6833","600509","YCF1","YDR135C","Yeast Cadmium Factor","Ensembl"
